topics;score;Average score
5;-0,538157531;-0,712826614
6;-0,536012816;-0,712826614
7;-0,598302369;-0,712826614
8;-0,510380563;-0,712826614
9;-0,590101832;-0,712826614
10;-0,635282486;-0,712826614
11;-0,611534458;-0,712826614
12;-0,967656115;-0,712826614
13;-0,638161541;-0,712826614
14;-0,740745239;-0,712826614
15;-0,660448406;-0,712826614
16;-0,855573659;-0,712826614
17;-0,637241001;-0,712826614
18;-0,867322486;-0,712826614
19;-0,973243945;-0,712826614
20;-1,045061369;-0,712826614
